Pays,BienEtre,LogPIB,EspVie,Generosite,Gini
Afghanistan,2.661718,7.460144,52.33953,PeuG,0.2865989
Albania,4.639548,9.373718,69.05166,PeuG,0.4104880
Algeria,5.248912,9.540244,65.69919,PeuG,0.5275558
Argentina,6.039330,9.843519,67.53870,PeuG,0.3941758
Armenia,4.287736,9.034711,65.12569,PeuG,0.4788766
Australia,7.257038,10.711827,72.78334,G,0.4283409
Austria,7.293728,10.716226,72.35971,G,0.3229416
Azerbaijan,5.152279,9.653930,63.07531,PeuG,0.3137433
Bahrain,6.227321,10.686713,66.12399,G,0.4466093
Bangladesh,4.309771,8.163093,62.50415,G,0.5327501
Belarus,5.552915,9.719830,66.60596,PeuG,0.2832502
Belgium,6.928348,10.657654,72.14293,G,0.3543738
Benin,4.853181,7.632503,51.79475,PeuG,0.5770697
Bolivia,5.650553,8.832608,60.34380,PeuG,0.4058866
Bosnia and Herzegovina,5.089902,9.371713,67.99448,G,0.4862039
Botswana,3.504881,9.683659,58.01321,PeuG,0.6378644
Brazil,6.332929,9.547693,65.45374,PeuG,0.3926226
Bulgaria,5.096902,9.822962,66.41549,PeuG,0.3432195
Burkina Faso,4.646891,7.434531,52.39948,PeuG,0.5531443
Cambodia,4.585842,8.202580,58.63087,G,0.5456906
Cameroon,5.074051,8.128400,50.14022,PeuG,0.5652372
Chad,4.558937,7.490785,45.98406,PeuG,0.5615193
Chile,6.320119,10.037579,69.60894,PeuG,0.5746470
China,5.099061,9.635467,69.30280,PeuG,0.6333550
Colombia,6.157342,9.490861,64.13578,PeuG,0.5420275
Congo (Brazzaville),4.883991,8.559968,55.28946,PeuG,0.4772594
Congo (Kinshasa),4.311033,6.625341,50.78822,G,0.6324521
Costa Rica,7.225182,9.670634,115.86730,PeuG,0.4693082
Croatia,5.343166,10.014189,67.01551,PeuG,0.3382850
Cyprus,6.062051,10.361367,72.76279,G,0.4101384
Czech Republic,6.789568,10.393459,71.45103,PeuG,0.2829457
Denmark,7.593702,10.748989,71.66250,G,0.6308129
Dominican Republic,5.605203,9.594574,63.49599,PeuG,0.4809132
Ecuador,5.839519,9.223261,67.34206,PeuG,0.4133343
Egypt,3.929344,9.260223,61.57379,PeuG,0.3808148
El Salvador,6.339318,9.001177,64.31137,PeuG,0.4021952
Estonia,5.938396,10.285845,67.28439,PeuG,0.3965996
Ethiopia,4.180315,7.439282,56.72827,G,0.4202675
Finland,7.788252,10.612338,71.69696,PeuG,0.4256144
France,6.635222,10.560774,72.58894,PeuG,0.3728552
Gabon,4.782383,9.715631,57.12617,PeuG,0.5892302
Georgia,4.450775,9.169098,64.34745,PeuG,0.4542765
Germany,7.074325,10.711184,71.07910,G,0.3195973
Ghana,5.481311,NA,54.86589,G,0.5012015
Greece,5.148242,10.117517,71.78034,PeuG,0.3467059
Guatemala,6.325119,8.918908,63.38198,PeuG,0.4953186
Guinea,4.873723,7.527477,51.15182,G,0.6183533
Haiti,3.823866,7.403176,53.34701,G,0.5744730
Honduras,6.019986,8.404380,63.75267,G,0.5615590
Hong Kong S.A.R. of China,5.362475,10.917167,76.53636,G,0.4712784
Hungary,6.065039,10.193238,67.19337,PeuG,0.3307532
Iceland,7.476214,10.760409,72.75598,G,0.3324379
India,4.046111,8.768456,59.50263,PeuG,0.3801122
Indonesia,5.098402,9.322167,60.58442,G,0.4497083
Iran,4.716783,9.853449,65.96455,G,0.8520396
Iraq,4.462399,9.622720,61.04585,PeuG,0.5503681
Ireland,7.060155,11.066487,71.70979,G,0.3674542
Israel,7.331036,10.406132,71.86508,G,0.2456012
Italy,6.198870,10.472474,74.13480,PeuG,0.3467084
Ivory Coast,5.037735,8.180943,46.98994,PeuG,0.5579540
Jamaica,5.889759,NA,65.81879,PeuG,NA
Japan,5.910676,10.568169,75.31729,PeuG,0.4261537
Jordan,4.808083,9.025333,64.41788,PeuG,0.3636062
Kazakhstan,5.882351,10.071871,64.20000,PeuG,0.3372429
Kenya,4.475654,8.010255,58.68984,G,0.5213320
Kuwait,6.093905,11.111793,65.37896,PeuG,0.5918614
Kyrgyzstan,5.629537,8.112041,62.89965,G,0.3821509
Laos,4.623141,8.708568,57.86958,G,0.5850870
Latvia,5.977818,10.133033,65.10926,PeuG,0.3621852
Lebanon,5.153990,9.491579,68.86389,PeuG,0.3266440
Liberia,4.424491,6.629414,52.78685,G,0.5908499
Lithuania,6.272941,10.282658,67.04169,PeuG,0.4285041
Luxembourg,7.061381,11.465231,72.20131,G,0.2923497
Macedonia,5.233867,9.503636,65.87578,PeuG,0.3712044
Madagascar,4.078620,7.249253,56.99448,PeuG,0.5783165
Malawi,3.416863,7.002703,54.23464,G,0.5740560
Mali,4.741850,7.608559,49.17870,PeuG,0.5490265
Malta,6.675666,10.502700,71.82951,G,0.4196376
Mauritania,4.678160,8.187708,53.33534,PeuG,0.4339283
Mauritius,6.174118,9.914655,65.58916,G,0.4156268
Mexico,6.410299,9.741969,68.09823,PeuG,0.4387711
Moldova,5.325531,8.545789,63.70124,PeuG,0.4331700
Mongolia,5.333850,9.318548,62.31261,G,0.3893515
Montenegro,5.614799,9.694497,67.14219,PeuG,0.3524385
Morocco,5.312483,8.915044,65.33886,PeuG,0.5279669
Mozambique,4.279863,7.046577,49.95774,PeuG,0.6088454
Myanmar,4.154342,8.634504,57.64122,G,0.4241622
Namibia,4.441306,9.203362,55.49543,PeuG,0.6027359
Nepal,4.736692,7.801309,61.26596,G,0.4637466
Netherlands,7.458965,10.791814,71.62000,G,0.4419355
New Zealand,7.327183,10.475762,71.61430,G,0.4464422
Nicaragua,6.476357,8.575318,66.25179,G,0.4428130
Niger,4.615674,6.831232,51.32594,PeuG,0.6592969
Nigeria,5.321928,8.585621,45.87316,G,0.4685992
Norway,7.578745,11.081789,71.08659,G,0.3281131
Pakistan,5.830871,8.519007,57.46300,G,0.4116451
Panama,6.567659,10.002714,68.04541,PeuG,0.4743427
Peru,5.710937,9.413349,65.40724,PeuG,0.4794696
Philippines,5.594270,8.938968,60.25149,PeuG,0.5033992
Poland,6.201268,10.211140,69.09680,PeuG,0.2600879
Portugal,5.711499,10.236709,72.15874,PeuG,0.4455281
Romania,6.089905,10.028892,66.85709,PeuG,0.4121176
