Nom	Calories	Proteine	Graisse	Sodium	Fibre	Carbo	Sucres	Potassium	Marque
100%_Bran	70	4	1	130	10	5	6	280	Autre
100%_Natural_Bran	120	3	5	15	2	8	8	135	Autre
All-Bran	70	4	1	260	9	7	5	320	Kelloggs
All-Bran_with_Extra_Fiber	50	4	0	140	14	8	0	330	Kelloggs
Apple_Cinnamon_Cheerios	110	2	2	180	1.5	10.5	10	70	GeneralMills
Apple_Jacks	110	2	0	125	1	11	14	30	Kelloggs
Basic_4	130	3	2	210	2	18	8	100	GeneralMills
Bran_Chex	90	2	1	200	4	15	6	125	Autre
Bran_Flakes	90	3	0	210	5	13	5	190	Autre
Cap'n'Crunch	120	1	2	220	0	12	12	35	Autre
Cheerios	110	6	2	290	2	17	1	105	GeneralMills
Cinnamon_Toast_Crunch	120	1	3	210	0	13	9	45	GeneralMills
Clusters	110	3	2	140	2	13	7	105	GeneralMills
Cocoa_Puffs	110	1	1	180	0	12	13	55	GeneralMills
Corn_Chex	110	2	0	280	0	22	3	25	Autre
Corn_Flakes	100	2	0	290	1	21	2	35	Kelloggs
Corn_Pops	110	1	0	90	1	13	12	20	Kelloggs
Count_Chocula	110	1	1	180	0	12	13	65	GeneralMills
Cracklin'_Oat_Bran	110	3	3	140	4	10	7	160	Kelloggs
Crispix	110	2	0	220	1	21	3	30	Kelloggs
Crispy_Wheat_&_Raisins	100	2	1	140	2	11	10	120	GeneralMills
Double_Chex	100	2	0	190	1	18	5	80	Autre
Froot_Loops	110	2	1	125	1	11	13	30	Kelloggs
Frosted_Flakes	110	1	0	200	1	14	11	25	Kelloggs
Frosted_Mini-Wheats	100	3	0	0	3	14	7	100	Kelloggs
Fruit_&_Fibre_Dates,_Walnuts,_and_Oats	120	3	2	160	5	12	10	200	Autre
Fruitful_Bran	120	3	0	240	5	14	12	190	Kelloggs
Fruity_Pebbles	110	1	1	135	0	13	12	25	Autre
Golden_Crisp	100	2	0	45	0	11	15	40	Autre
Golden_Grahams	110	1	1	280	0	15	9	45	GeneralMills
Grape_Nuts_Flakes	100	3	1	140	3	15	5	85	Autre
Grape-Nuts	110	3	0	170	3	17	3	90	Autre
Great_Grains_Pecan	120	3	3	75	3	13	4	100	Autre
Honey_Graham_Ohs	120	1	2	220	1	12	11	45	Autre
Honey_Nut_Cheerios	110	3	1	250	1.5	11.5	10	90	GeneralMills
Honey-comb	110	1	0	180	0	14	11	35	Autre
Just_Right_Crunchy__Nuggets	110	2	1	170	1	17	6	60	Kelloggs
Just_Right_Fruit_&_Nut	140	3	1	170	2	20	9	95	Kelloggs
Kix	110	2	1	260	0	21	3	40	GeneralMills
Life	100	4	2	150	2	12	6	95	Autre
Lucky_Charms	110	2	1	180	0	12	12	55	GeneralMills
Maypo	100	4	1	0	0	16	3	95	Autre
Muesli_Raisins,_Dates,_&_Almonds	150	4	3	95	3	16	11	170	Autre
Muesli_Raisins,_Peaches,_&_Pecans	150	4	3	150	3	16	11	170	Autre
Mueslix_Crispy_Blend	160	3	2	150	3	17	13	160	Kelloggs
Multi-Grain_Cheerios	100	2	1	220	2	15	6	90	GeneralMills
Nut&Honey_Crunch	120	2	1	190	0	15	9	40	Kelloggs
Nutri-Grain_Almond-Raisin	140	3	2	220	3	21	7	130	Kelloggs
Nutri-grain_Wheat	90	3	0	170	3	18	2	90	Kelloggs
Oatmeal_Raisin_Crisp	130	3	2	170	1.5	13.5	10	120	GeneralMills
Post_Nat._Raisin_Bran	120	3	1	200	6	11	14	260	Autre
Product_19	100	3	0	320	1	20	3	45	Kelloggs
Puffed_Rice	50	1	0	0	0	13	0	15	Autre
Puffed_Wheat	50	2	0	0	1	10	0	50	Autre
Quaker_Oat_Squares	100	4	1	135	2	14	6	110	Autre
Raisin_Bran	120	3	1	210	5	14	12	240	Kelloggs
Raisin_Nut_Bran	100	3	2	140	2.5	10.5	8	140	GeneralMills
Raisin_Squares	90	2	0	0	2	15	6	110	Kelloggs
Rice_Chex	110	1	0	240	0	23	2	30	Autre
Rice_Krispies	110	2	0	290	0	22	3	35	Kelloggs
Shredded_Wheat	80	2	0	0	3	16	0	95	Autre
Shredded_Wheat_'n'Bran	90	3	0	0	4	19	0	140	Autre
Shredded_Wheat_spoon_size	90	3	0	0	3	20	0	120	Autre
Smacks	110	2	1	70	1	9	15	40	Kelloggs
Special_K	110	6	0	230	1	16	3	55	Kelloggs
Strawberry_Fruit_Wheats	90	2	0	15	3	15	5	90	Autre
Total_Corn_Flakes	110	2	1	200	0	21	3	35	GeneralMills
Total_Raisin_Bran	140	3	1	190	4	15	14	230	GeneralMills
Total_Whole_Grain	100	3	1	200	3	16	3	110	GeneralMills
Triples	110	2	1	250	0	21	3	60	GeneralMills
Trix	110	1	1	140	0	13	12	25	GeneralMills
Wheat_Chex	100	3	1	230	3	17	3	115	Autre
Wheaties	100	3	1	200	3	17	3	110	GeneralMills
Wheaties_Honey_Gold	110	2	1	200	1	16	8	60	GeneralMills
									
									
									
